genome,coco_id,vg_url,coco_url
61513,567396,https://cs.stanford.edu/people/rak248/VG_100K/61513.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000567396.jpg
61514,165203,https://cs.stanford.edu/people/rak248/VG_100K/61514.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000165203.jpg
61537,326071,https://cs.stanford.edu/people/rak248/VG_100K/61537.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000326071.jpg
61574,377213,https://cs.stanford.edu/people/rak248/VG_100K/61574.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000377213.jpg
107906,175020,https://cs.stanford.edu/people/rak248/VG_100K/107906.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000175020.jpg
107909,71754,https://cs.stanford.edu/people/rak248/VG_100K/107909.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000071754.jpg
107930,375464,https://cs.stanford.edu/people/rak248/VG_100K/107930.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000375464.jpg
107933,410707,https://cs.stanford.edu/people/rak248/VG_100K/107933.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000410707.jpg
107955,272026,https://cs.stanford.edu/people/rak248/VG_100K/107955.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000272026.jpg
107964,198735,https://cs.stanford.edu/people/rak248/VG_100K/107964.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000198735.jpg
150273,198596,https://cs.stanford.edu/people/rak248/VG_100K/150273.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000198596.jpg
150277,356362,https://cs.stanford.edu/people/rak248/VG_100K/150277.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000356362.jpg
150280,271987,https://cs.stanford.edu/people/rak248/VG_100K/150280.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000271987.jpg
150290,204422,https://cs.stanford.edu/people/rak248/VG_100K/150290.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000204422.jpg
150296,138501,https://cs.stanford.edu/people/rak248/VG_100K/150296.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000138501.jpg
150303,340145,https://cs.stanford.edu/people/rak248/VG_100K/150303.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000340145.jpg
150374,460728,https://cs.stanford.edu/people/rak248/VG_100K/150374.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000460728.jpg
150384,3860,https://cs.stanford.edu/people/rak248/VG_100K/150384.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000003860.jpg
150432,543332,https://cs.stanford.edu/people/rak248/VG_100K/150432.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000543332.jpg
150458,155806,https://cs.stanford.edu/people/rak248/VG_100K/150458.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000155806.jpg
150463,407820,https://cs.stanford.edu/people/rak248/VG_100K/150463.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000407820.jpg
150474,497273,https://cs.stanford.edu/people/rak248/VG_100K/150474.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000497273.jpg
150496,34120,https://cs.stanford.edu/people/rak248/VG_100K/150496.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000034120.jpg
285610,58351,https://cs.stanford.edu/people/rak248/VG_100K/285610.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000058351.jpg
285670,530132,https://cs.stanford.edu/people/rak248/VG_100K/285670.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000530132.jpg
285684,247319,https://cs.stanford.edu/people/rak248/VG_100K/285684.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000247319.jpg
285686,349354,https://cs.stanford.edu/people/rak248/VG_100K/285686.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000349354.jpg
285715,245089,https://cs.stanford.edu/people/rak248/VG_100K/285715.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000245089.jpg
285751,187878,https://cs.stanford.edu/people/rak248/VG_100K/285751.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000187878.jpg
285766,81555,https://cs.stanford.edu/people/rak248/VG_100K/285766.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000081555.jpg
285807,70159,https://cs.stanford.edu/people/rak248/VG_100K/285807.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000070159.jpg
285851,517226,https://cs.stanford.edu/people/rak248/VG_100K/285851.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000517226.jpg
285859,139240,https://cs.stanford.edu/people/rak248/VG_100K/285859.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000139240.jpg
285896,246852,https://cs.stanford.edu/people/rak248/VG_100K/285896.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000246852.jpg
285905,430428,https://cs.stanford.edu/people/rak248/VG_100K/285905.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000430428.jpg
285932,425418,https://cs.stanford.edu/people/rak248/VG_100K/285932.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000425418.jpg
285933,18495,https://cs.stanford.edu/people/rak248/VG_100K/285933.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000018495.jpg
285946,69486,https://cs.stanford.edu/people/rak248/VG_100K/285946.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000069486.jpg
285948,380279,https://cs.stanford.edu/people/rak248/VG_100K/285948.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000380279.jpg
285949,108701,https://cs.stanford.edu/people/rak248/VG_100K/285949.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000108701.jpg
285959,372308,https://cs.stanford.edu/people/rak248/VG_100K/285959.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000372308.jpg
285992,1424,https://cs.stanford.edu/people/rak248/VG_100K/285992.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000001424.jpg
285993,440291,https://cs.stanford.edu/people/rak248/VG_100K/285993.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000440291.jpg
285994,406199,https://cs.stanford.edu/people/rak248/VG_100K/285994.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000406199.jpg
286001,260748,https://cs.stanford.edu/people/rak248/VG_100K/286001.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000260748.jpg
286034,37286,https://cs.stanford.edu/people/rak248/VG_100K/286034.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000037286.jpg
286058,473131,https://cs.stanford.edu/people/rak248/VG_100K/286058.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000473131.jpg
286066,6327,https://cs.stanford.edu/people/rak248/VG_100K/286066.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000006327.jpg
497926,89407,https://cs.stanford.edu/people/rak248/VG_100K/497926.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000089407.jpg
497950,179153,https://cs.stanford.edu/people/rak248/VG_100K/497950.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000179153.jpg
497974,262937,https://cs.stanford.edu/people/rak248/VG_100K/497974.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000262937.jpg
498024,316777,https://cs.stanford.edu/people/rak248/VG_100K/498024.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000316777.jpg
498025,223216,https://cs.stanford.edu/people/rak248/VG_100K/498025.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000223216.jpg
498032,298242,https://cs.stanford.edu/people/rak248/VG_100K/498032.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000298242.jpg
498039,487288,https://cs.stanford.edu/people/rak248/VG_100K/498039.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000487288.jpg
498058,227205,https://cs.stanford.edu/people/rak248/VG_100K/498058.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000227205.jpg
498079,463175,https://cs.stanford.edu/people/rak248/VG_100K/498079.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000463175.jpg
498092,506037,https://cs.stanford.edu/people/rak248/VG_100K/498092.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000506037.jpg
498108,513758,https://cs.stanford.edu/people/rak248/VG_100K/498108.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000513758.jpg
498111,44911,https://cs.stanford.edu/people/rak248/VG_100K/498111.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000044911.jpg
